feature,importance
prev_APP_CREDIT_GAP_mean,0.20077491926805258
inst_LAST_1_DBD_mean,0.1993844758513564
prev_APPROVED_AMT_CREDIT_mean,0.19327288649236396
inst_DPD_mean_trend_60D,0.19320119853322906
prev_PREV_SIMPLE_INTEREST_mean_180D,0.1894548990592529
prev_NAME_CONTRACT_STATUS_Approved_prop,0.18890507754778904
inst_DPD_max,0.1876334695186564
HOUR_APPR_PROCESS_START,0.18660130217465165
BASEMENTAREA_AVG,0.181120595122065
bureau_DAYS_CREDIT_mean,0.17934395767737146
inst_LAST_10_DBD_mean,0.17238102553084797
inst_LAST_3_DBD_mean,0.17059721910219025
prev_LAST_1_PREV_CREDIT_TO_ANNUITY_mean,0.16919358823359282
prev_APP_CREDIT_GAP_mean_180D,0.16909739146839442
bureau_AMT_CREDIT_SUM_OVERDUE_mean,0.16814663441602432
EXT_SOURCES_RANGE,0.1675064239940505
bureau_STATUS_0_prop_mean,0.16104794622608298
prev_LAST_3_PREV_SIMPLE_INTEREST_mean,0.1543011309101048
inst_DBD_mean_365D,0.145404644158747
prev_LAST_5_PREV_SIMPLE_INTEREST_mean,0.14284387627771247
prev_LAST_3_APP_CREDIT_GAP_mean,0.14001518603184152
prev_LAST_1_AMT_CREDIT_mean,0.13905847888558642
prev_PREV_TOTAL_PAYMENT_mean_1000D,0.13814838031747745
inst_DBD_mean_60D,0.1310082973295127
pos_CNT_INSTALMENT_mean,0.13039883213649453
prev_LAST_5_PREV_CREDIT_TO_ANNUITY_mean,0.1250447699120742
inst_DBD_mean_1000D,0.12277446568454832
inst_PAYMENT_PERC_mean_trend_365D,0.12148130351672648
prev_LAST_5_AMT_CREDIT_mean,0.1171172614021038
prev_LAST_1_PREV_SIMPLE_INTEREST_mean,0.11355846900828805
prev_REFUSED_PREV_SIMPLE_INTEREST_mean,0.11203976653582592
prev_LAST_3_PREV_CREDIT_TO_ANNUITY_mean,0.1064470986029697
bureau_STATUS_X_prop_mean,0.09803845133434869
inst_DBD_mean,0.09245828393047166
prev_APPROVED_APP_CREDIT_GAP_mean,0.08434421586304487
prev_APPROVED_PREV_TOTAL_PAYMENT_mean,0.06963898481561982
inst_PAYMENT_PERC_mean_60D,0.061983661495881505
prev_PREV_TOTAL_PAYMENT_mean,0.05526031798512758
