feature,mean_abs_shap,mean_shap,std_shap,native_importance,rank
EXT_SOURCES_MEAN,0.2728577713303045,-0.10112033832297405,0.31020236819589836,9.889514041307823,1
EXT_SOURCES_PROD,0.17570133409880395,-0.06076310169142569,0.19640763770655142,7.715382526807175,2
inst_AMT_INSTALMENT_sum,0.11559672969539914,-0.012062605752557739,0.13350305530987217,2.147814029755041,3
CODE_GENDER_M,0.11455905949065152,-0.11455905949065152,0.017867533316624603,1.9124133829217123,4
DAYS_EMPLOYED,0.11210343096603806,-0.015566831583643125,0.1349004747366334,2.2342322139832174,5
AMT_ANNUITY,0.09264067010751156,-0.005325141648518794,0.10796148028332876,1.5382336634652194,6
EXT_SOURCES_MAX,0.0858557760781393,-0.023620679244593563,0.09564886981612483,2.3052267658287975,7
NAME_EDUCATION_TYPE_Higher_education,0.08190344788500042,-0.007454719819408635,0.10185349780508808,1.3477714320520204,8
DAYS_BIRTH,0.08152800890537039,-0.004655027038129949,0.0979980243186829,3.0912852570363594,9
CREDIT_TERM,0.07683696663006066,-0.023651067704239394,0.09442157210379042,3.286468717743514,10
pos_LAST_3_CNT_INSTALMENT_FUTURE_mean,0.07478664134855083,-0.0039575764463743055,0.09021528313065838,1.2316874129166664,11
EXT_SOURCE_1_is_missing,0.07143943075343154,-0.007674186115255513,0.08673960217627642,1.720167085448159,12
NAME_FAMILY_STATUS_Married,0.06995177479049339,-0.003562423652308633,0.07315231208158339,0.7021555990418368,13
DOWN_PAYMENT,0.06792954826871253,-0.0036142182758100716,0.07845323677752578,1.2593016261530836,14
inst_LAST_10_DPD_mean,0.06497041154986974,-0.010835359180057826,0.08659910534699089,1.5522438908083085,15
prev_NAME_CONTRACT_STATUS_Refused_prop,0.06173221402375435,-0.008200157025474464,0.07806942966053829,1.191477828997988,16
DOWN_PAYMENT_RATIO,0.06131400357431935,-0.009776111226506602,0.06597664943745603,1.2143885399058005,17
bureau_ACTIVE_DEBT_CREDIT_RATIO_mean,0.06015222736330119,-0.010458279646884977,0.07403725701418636,1.239689169091612,18
inst_DPD_mean_1000D,0.05598994633960819,-0.010979490768339926,0.06556065756623067,1.156274191194071,19
CREDIT_TO_ANNUITY_RATIO,0.05592589110971712,-0.009117702053515519,0.06142749983305489,1.9595578910475304,20
