threshold,precision,recall,f1,accuracy
0.01,0.08073013209498352,1.0,0.14939924352528053,0.08074507903782303
0.02,0.08075786953296811,0.9999597180261833,0.14944628897725254,0.08112230131605049
0.03,0.08088908585524493,0.9999194360523666,0.1496704873651651,0.08277752665758298
0.04,0.0811493072699865,0.9996777442094663,0.15011311259239546,0.08617903099401322
0.05,0.08162493256312749,0.9995166163141994,0.1509246897172557,0.09210727421132903
0.06,0.08225507398279872,0.9989526686807654,0.15199470448708913,0.10014275912081194
0.07,0.0830730248957649,0.998429003021148,0.1533839332403021,0.11022044739862964
0.08,0.08399070351332553,0.9971802618328298,0.15493178119914883,0.1218200324541236
0.09,0.08499156829679595,0.9948036253776436,0.15660362402701375,0.13498053728159318
0.1,0.08619260906506666,0.9929909365558912,0.15861709520500347,0.14955237373622407
0.11,0.08746065337625153,0.9905337361530715,0.1607294594417936,0.1649079219930344
0.12,0.08894106223483078,0.9888418932527694,0.1632028933476937,0.18138863325214383
0.13,0.09053771788757647,0.9865055387713998,0.16585398889340378,0.1989229653573368
0.14,0.09215704771428032,0.9838066465256797,0.16852746342809827,0.21630770931771545
0.15,0.09379574979581144,0.9807049345417925,0.17121618628006005,0.23353310938470495
0.16,0.09555475016151652,0.9770795568982881,0.17408466675518267,0.2515487250862571
0.17,0.0974073596492642,0.9737361530715005,0.17709871093707072,0.2694797909668272
0.18,0.09923494112552327,0.9692245720040282,0.18003666429720527,0.2872840321159243
0.19,0.10119915632146012,0.9644310171198389,0.18317725547802668,0.3056378471014045
0.2,0.10316910254966342,0.9593957703927493,0.18630392014987543,0.32345509591526805
0.21,0.10517168574286032,0.9531117824773414,0.18943955164131304,0.34155851335399384
0.22,0.10729257422806913,0.947472306143001,0.19275716252540484,0.3593529987545161
0.23,0.1094641995775789,0.9415508559919437,0.19612680192653006,0.3769068423568588
0.24,0.11165828275736037,0.9352668680765357,0.19949906127692116,0.3940802117647824
0.25,0.11400419804914187,0.9298288016112789,0.2031060272767268,0.4109674125478438
0.26,0.11625006970036447,0.9237865055387714,0.2065124404542139,0.426908305719145
0.27,0.11862737947633287,0.9172608257804632,0.2100849252003192,0.4431516270962665
0.28,0.12108847908500932,0.9109365558912387,0.21376210529300835,0.4590339857761186
0.29,0.12366305372030616,0.9040080563947633,0.2175645413035259,0.4750821921817431
0.3,0.12610331191860136,0.8966364551863041,0.22110967075429996,0.4900312509146014
0.31,0.12864525977847308,0.8893856998992951,0.2247775538044917,0.5047526755140467
0.32,0.13110939177477493,0.880563947633434,0.22823612938253043,0.5192497178962704
0.33,0.13385160146087344,0.8725075528700906,0.23209712503884358,0.5339158599204581
0.34,0.13654500906863526,0.8642900302114803,0.23583205100021984,0.547827557388191
0.35,0.13926882228301157,0.8551863041289023,0.2395297409513494,0.5616286897054089
0.36,0.14211017614112936,0.8462839879154078,0.2433554769171961,0.5751599129787227
0.37,0.14496573169626362,0.8375427995971803,0.2471530799039536,0.588086279840396
0.38,0.14772947902060188,0.8275528700906345,0.2507047409848069,0.600658187837183
0.39,0.1508627407324947,0.8188519637462236,0.25478473397255125,0.6133016379901857
0.4,0.15398048436758016,0.8098288016112789,0.2587603853604227,0.6254475449658712
0.41,0.15740234638022133,0.8004028197381672,0.2630707921250877,0.6379901857169337
0.42,0.16041235087489458,0.7891641490433031,0.2666276521904814,0.6495344881971702
0.43,0.1635829637403934,0.7785297079556899,0.2703587390626202,0.6607633548068199
0.44,0.16661854136588353,0.7670493454179255,0.273768959815973,0.6714719148258111
0.45,0.17010986224198676,0.756576032225579,0.2777662752521518,0.6823788417324909
0.46,0.17353123299495243,0.745055387713998,0.2814985046913881,0.6929573251038175
0.47,0.17737844168213582,0.7351863041289023,0.28580153149908394,0.7033732126655632
